num_of_layers_disc;list_of_neurons_disc;num_of_layers_gen;list_of_neurons_gen;output_dir_name;num_of_batch;Activation;step;d_Real;d_Real2;ACC_Real;F1;Prec;Recall;d_Generated;d_Generated2;ACC_Generated;KNN_all;KNN_low;KNN_high;Dist_all;Dist_low;Dist_high;Overfitted
0;[];0;[];exp_0;100;Elu;14000;0.7283840179443359;0.0007772439857944846;0.30000001192092896;0.44087734818458557;1.0;0.2890625;0.6861377954483032;5,88E-06;0.6299999952316284;11;16;6;3,6452;4,4151;2,9748;1
0;[];1;[64];exp_1;120;Elu;11500;0.7103543877601624;0.0007370576495304704;0.23999999463558197;0.4417343735694885;1.0;0.296875;0.6783058643341064;7,43E-07;0.6700000166893005;14;12;11;3,732;4,0935;3,454;0
0;[];1;[256];exp_2;64;Elu;21500;0.7070781588554382;3,30E-05;0.3100000023841858;0.4558139145374298;1.0;0.296875;0.7113418579101562;2,15E-08;0.30000001192092896;11;18,5;13;3,9185;4,3625;3,686;1
0;[];1;[512];exp_3;100;Elu;14000;0.5756654143333435;0.0023110820911824703;1.0;1.0;1.0;1.0;0.7325801253318787;1,38E-07;0.1899999976158142;13;15,5;12;3,494;3,4793;3,8693;1
1;[64];0;[];exp_4;32;Elu;43500;0.47657015919685364;0.009776327759027481;0.8199999928474426;0.9219297766685486;1.0;0.859375;0.31743931770324707;0.004311569035053253;1.0;9;12;2;5,1444;5,0468;3,723;1
1;[64];1;[64];exp_5;32;Elu;43500;1,29E-05;1.0;1.0;1.0;1.0;1.0;6,73E-05;0.0002509223413653672;1.0;18;15,5;16;5,91132;5,205;6,906;1
1;[64];1;[256];exp_6;100;Elu;14000;0.02773381769657135;0.005758130457252264;1.0;1.0;1.0;1.0;0.055689238011837006;0.000590552284847945;1.0;10;14;14;4,4329;4,321;5,241;1
1;[64];1;[512];exp_7;120;Elu;11500;0.14247173070907593;0.006213744170963764;0.9900000095367432;0.9960317611694336;1.0;0.9921875;0.08284498006105423;0.0032029510475695133;1.0;11;22,5;5;7,1601;9,6716;4,9525;1
1;[256];0;[];exp_8;100;Elu;14000;0.45037519931793213;0.007342709228396416;0.7300000190734863;0.8770802617073059;1.0;0.7890625;0.13308337330818176;0.02192346751689911;0.9800000190734863;17;15;17;4,6056;4,2097;4,8263;0
1;[256];1;[64];exp_9;64;Elu;21500;0.019310588017106056;0.0007366628851741552;1.0;1.0;1.0;1.0;0.0062935007736086845;0.00019729883933905512;1.0;12;18,5;3;7,7943;8,199;3,4725;1
1;[256];1;[256];exp_10;64;Elu;21500;0.014725795947015285;0.0002534190134610981;1.0;1.0;1.0;1.0;0.009687807410955429;6,41E-05;1.0;9;16,5;4;4,46;5,3134;3,833;1
1;[256];1;[512];exp_11;64;Elu;21500;0.09056027233600616;0.0007877730531617999;1.0;1.0;1.0;1.0;0.14891237020492554;0.002812933875247836;1.0;14;14;14;4,484;3,98377;4,4059;1
1;[512];0;[];exp_12;100;Elu;14000;0.2657758593559265;0.008122149854898453;0.8399999737739563;0.9316091537475586;1.0;0.875;0.12360081821680069;0.010949768126010895;1.0;15;16;16;4,5775;4,3916;5,453;0
1;[512];1;[64];exp_13;64;Elu;21500;0.6924716830253601;0.005158471409231424;0.5299999713897705;0.6862744092941284;1.0;0.5234375;0.5608509182929993;0.0036214529536664486;0.75;13;15;4;5,0931;6,0538;4,1313;0
1;[512];1;[256];exp_14;120;Elu;11500;0.7158175110816956;0.0011632544919848442;0.3799999952316284;0.5696969032287598;1.0;0.40625;0.6424206495285034;0.0017900955863296986;0.6000000238418579;5;10;2;3,7338;5,5038;2,044;0
1;[512];1;[512];exp_15;100;Elu;14000;0.6991335153579712;0.002705060876905918;0.49000000953674316;0.5997104644775391;1.0;0.4375;0.6068535447120667;0.0017503163544461131;0.8799999952316284;5;10;2;3,7309;6.035;1,5999;0
