num_of_layers_disc;list_of_neurons_disc;num_of_layers_gen;list_of_neurons_gen;output_dir_name;num_of_batch;Activation;step;d_Real;d_Real2;ACC_Real;F1;Prec;Recall;d_Generated;d_Generated2;ACC_Generated;KNN_all;KNN_low;KNN_high;Dist_all;Dist_low;Dist_high;Overfitted
1;[512];0;[];exp_0;100;Elu;14000;0.2879163324832916;0.008446878753602505;0.8199999928474426;0.8912110328674316;1.0;0.8046875;0.09765520691871643;0.020993933081626892;1.0;19;13,5;26;4,9724;3,743;6,4378;0
1;[512];1;[64];exp_1;100;Elu;14000;0.6933043599128723;0.0022042954806238413;0.44999998807907104;0.6685631275177002;1.0;0.515625;0.5925698280334473;0.0054496233351528645;0.7799999713897705;6;18;1;4,4053;6,9077;2,39935;0
1;[512];2;[64, 64];exp_2;100;Elu;14000;0.6978716850280762;0.003204013453796506;0.4000000059604645;0.5915678143501282;1.0;0.421875;0.6231285929679871;0.0018951906822621822;0.8500000238418579;6;13;2;4,184;6,592;1,726;0
1;[512];2;[64, 256];exp_3;120;Elu;11500;0.6918890476226807;0.0009071246022358537;0.5600000023841858;0.7049158811569214;1.0;0.546875;0.6532112956047058;0.00036510027712211013;0.6499999761581421;4;10;2;3,271;4,8477;1,682;0
1;[512];2;[64, 512];exp_4;120;Elu;11500;0.6813262701034546;0.0006509192171506584;0.550000011920929;0.7679509520530701;1.0;0.6484375;0.6660006642341614;0.0010282824514433742;0.8100000023841858;8;11,5;1;4,184;5,957;1,68106;1
1;[512];1;[256];exp_5;100;Elu;14000;0.7030287981033325;0.002983237151056528;0.3499999940395355;0.54747474193573;1.0;0.3828125;0.5983675122261047;0.00324868131428957;0.8999999761581421;6;10;2;3,8853;5,7233;1,8392;0
1;[512];2;[256, 64];exp_6;120;Elu;11500;0.6767820715904236;0.0005873230984434485;0.5799999833106995;0.7881566286087036;1.0;0.671875;0.6613618731498718;0.0005032421904616058;0.699999988079071;5;13;1;3,821;5,9206;1,621;0
1;[512];2;[256, 256];exp_7;100;Elu;14000;0.6988233327865601;0.001320298295468092;0.3499999940395355;0.3966183364391327;0.75;0.2734375;0.6316639184951782;0.0011528824688866735;0.8799999952316284;6;10;1;3,844;5,0564;2,12135;0
1;[512];2;[256, 512];exp_8;100;Elu;14000;0.6732698678970337;0.0013569226721301675;0.5899999737739563;0.7663372755050659;1.0;0.625;0.6218160390853882;0.001048658392392099;0.8999999761581421;6;11;1;3,5921;4,357;1,52;0
1;[512];1;[512];exp_9;100;Elu;14000;0.6768706440925598;0.0011843611719086766;0.6200000047683716;0.781267523765564;1.0;0.6484375;0.6173243522644043;0.002053846139460802;0.8299999833106995;6;10;2;3,9407;5,958;2,3024;0
1;[512];2;[512, 64];exp_10;120;Elu;11500;0.6140563488006592;0.003026133868843317;0.7300000190734863;0.8459827899932861;1.0;0.734375;0.6241783499717712;0.0005138006526976824;0.7400000095367432;5;7;3;3,359;3,379;2,047;1
1;[512];2;[512, 256];exp_11;100;Elu;14000;0.6986767053604126;0.0011727430392056704;0.5299999713897705;0.6868026256561279;1.0;0.5234375;0.6520134806632996;0.002010502852499485;0.7200000286102295;8;12;2;4,1143;5,284;1,954;0
1;[512];2;[512, 512];exp_12;120;Elu;11500;0.6829010844230652;0.001285443315282464;0.4699999988079071;0.5855072140693665;1.0;0.421875;0.6508834362030029;0.0006466818740591407;0.8799999952316284;4;7;2;3,2383;4,3989;1,8125;0
2;[512, 512];0;[];exp_13;120;Elu;11500;0.0409596711397171;0.025909902527928352;0.9800000190734863;0.9920634627342224;1.0;0.984375;0.009923616424202919;0.16872309148311615;1.0;19;16,5;16;5,3488;5,265;5,2071;0
2;[512, 512];1;[64];exp_14;120;Elu;11500;0.26118314266204834;0.04450180381536484;0.8999999761581421;0.9586020708084106;1.0;0.921875;0.0755281150341034;0.015402552671730518;0.9900000095367432;20;16;19;5,257;4,856;4,8241;0
2;[512, 512];2;[64, 64];exp_15;100;Elu;14000;0.4974198043346405;0.07104220986366272;0.7099999785423279;0.8645588159561157;1.0;0.7734375;0.2991163730621338;0.031209604814648628;0.949999988079071;19;14;19;6,829;7,9485;5,7262;0
2;[512, 512];2;[64, 256];exp_16;120;Elu;11500;0.5587526559829712;0.01170150563120842;0.5899999737739563;0.7658683061599731;1.0;0.625;0.3324356973171234;0.02745813876390457;0.9200000166893005;14;16;13;6,047;6,9112;5,649;0
2;[512, 512];2;[64, 512];exp_17;120;Elu;11500;0.528993546962738;0.016571147367358208;0.75;0.8867096304893494;1.0;0.8046875;0.4073640704154968;0.02458556741476059;0.8600000143051147;12;17,5;5;5,1434;7,234;2,9011;0
2;[512, 512];1;[256];exp_18;100;Elu;14000;0.582893967628479;0.0480077750980854;0.6299999952316284;0.7489525079727173;1.0;0.6015625;0.23721706867218018;0.05006217956542969;1.0;16;17;20;6,192;6,3707;7,5479;0
2;[512, 512];2;[256, 64];exp_19;120;Elu;11500;0.5998782515525818;0.042746201157569885;0.6000000238418579;0.6708897948265076;1.0;0.5234375;0.30076056718826294;0.008487925864756107;0.9599999785423279;7;10,5;1;5,382;6,9124;2,0361;1
2;[512, 512];2;[256, 256];exp_20;120;Elu;11500;0.6331154704093933;0.019041430205106735;0.6200000047683716;0.7419528961181641;1.0;0.59375;0.31251096725463867;0.012158261612057686;1.0;5;14,5;2;4,47099;4,9903;2,7584;1
2;[512, 512];2;[256, 512];exp_21;100;Elu;14000;0.3194601833820343;0.025747982785105705;0.8999999761581421;0.9581786394119263;1.0;0.921875;0.17023897171020508;0.008408958092331886;1.0;8;10,5;3;5,2371;5,6506;2,564;1
2;[512, 512];1;[512];exp_22;100;Elu;14000;0.5925019979476929;0.17902414500713348;0.6100000143051147;0.7771787643432617;1.0;0.640625;0.41630953550338745;0.12342797964811325;0.8299999833106995;12;17;2;5,92107;6,5575;4,666;0
2;[512, 512];2;[512, 64];exp_23;120;Elu;11500;0.5465062260627747;0.05445044860243797;0.6899999976158142;0.7813302278518677;1.0;0.6484375;0.3179735839366913;0.015423370525240898;1.0;13;13,5;1;5,3186;5,8556;2,4011;1
2;[512, 512];2;[512, 256];exp_24;100;Elu;14000;0.5496490597724915;0.03483528643846512;0.7200000286102295;0.8398221731185913;1.0;0.7265625;0.3009350001811981;0.015141362324357033;0.9599999785423279;12;15;2;5,707;5,3349;3,0899;1
2;[512, 512];2;[512, 512];exp_25;120;Elu;11500;0.6534793376922607;0.030066074803471565;0.5600000023841858;0.6460183262825012;1.0;0.4921875;0.3655226230621338;0.01978398859500885;0.9900000095367432;9;9;5;4,8678;5,1137;4,463;1
