num_of_layers_disc;list_of_neurons_disc;num_of_layers_gen;list_of_neurons_gen;output_dir_name;num_of_batch;Activation;step;d_Real;d_Real2;ACC_Real;F1;Prec;Recall;d_Generated;d_Generated2;ACC_Generated;KNN_all;KNN_low;KNN_high;Dist_all;Dist_low;Dist_high;Overfitted
1;[512];0;[];exp_0;120;Relu;11500;0.06814239174127579;0.014514345675706863;0.9700000286102295;0.9879671931266785;1.0;0.9765625;0.10573440790176392;0.05365022271871567;0.9599999785423279;19;16;25;5,34844;4,82127;6,4329;0
1;[512];1;[64];exp_1;100;Relu;14000;0.5979287624359131;0.014373178593814373;0.550000011920929;0.740134596824646;1.0;0.59375;0.3869008719921112;0.014947464689612389;0.9100000262260437;12;14;3;4,697;6,3033;2,3291;0
1;[512];2;[64, 64];exp_2;120;Relu;11500;0.009651894681155682;0.00031575755565427244;1.0;1.0;1.0;1.0;0.015683874487876892;0.0002000747190322727;1.0;10;14,5;3;3,464;4,0325;2,732;1
1;[512];2;[64, 256];exp_3;100;Relu;14000;0.11087827384471893;0.0011675942223519087;1.0;0.0;1.0;1.0;0.17431919276714325;0.007706913165748119;1.0;17;16,5;29;4,2238;4,14471;5,179;1
1;[512];2;[64, 512];exp_4;120;Relu;11500;0.6572587490081787;0.004387457389384508;0.5199999809265137;0.6195744276046753;1.0;1.0;0.4609375;0.5544025897979736;0.007649632170796394;5;10;2;3,458;5,084;1,933;0
1;[512];1;[256];exp_5;100;Relu;14000;0.6394218802452087;0.005136911291629076;0.5699999928474426;0.7114465236663818;1.0;0.5546875;0.5268459916114807;0.007840849459171295;0.800000011920929;6;18;2;4,863;6,979;5,069;0
1;[512];2;[256, 64];exp_6;100;Relu;14000;0.620370626449585;0.013030503876507282;0.6499999761581421;0.7583178281784058;1.0;0.6171875;0.5315426588058472;0.008930930867791176;0.8999999761581421;4;15;1;3,766;6,69;1,6484;0
1;[512];2;[256, 256];exp_7;120;Relu;11500;0.00926533155143261;0.0005374613683670759;1.0;1.0;1.0;1.0;0.010202186182141304;0.001244757091626525;1.0;19;17,5;28;4,63555;3,42185;8,1492;1
1;[512];2;[256, 512];exp_8;100;Relu;14000;0.5385950803756714;0.00845619011670351;0.7799999713897705;0.9010646343231201;1.0;0.828125;0.31330999732017517;0.0035775855649262667;1.0;13;19;4;4,5779;6,031;2,7109;1
1;[512];1;[512];exp_9;120;Relu;11500;0.7161445021629333;0.00958605483174324;0.3799999952316284;0.5156659483909607;1.0;0.3515625;0.5005624890327454;0.01061309315264225;0.8799999952316284;6;11;1;4,1003;5,001009;2,104;0
1;[512];2;[512, 64];exp_10;120;Relu;11500;0.5461864471435547;0.007657163310796022;0.75;0.8138065338134766;1.0;0.6953125;0.6118073463439941;0.009912412613630295;0.75;8;9;5;3,35;3,857;2,5415;0
1;[512];2;[512, 256];exp_11;100;Relu;14000;0.10350285470485687;0.0003624370729085058;0.9900000095367432;0.9960317611694336;1.0;0.9921875;0.08253169059753418;0.0024853881914168596;1.0;9;14;20;3,7752;4,483;4,95266;1
