num_of_layers_disc;list_of_neurons_disc;num_of_layers_gen;list_of_neurons_gen;output_dir_name;num_of_batch;Activation;step;d_Real;d_Real2;ACC_Real;F1;Prec;Recall;d_Generated;d_Generated2;ACC_Generated;KNN_all;KNN_low;KNN_high;Dist_all;Dist_low;Dist_high;Overfitted
1;[512];0;[];exp_0;100;Sigmoid;14000;0.5076828598976135;0.03226621076464653;0.8299999833106995;0.9269253015518188;1.0;0.8671875;0.4594847559928894;0.020497923716902733;0.9399999976158142;5;7;1;3,43379;4,46744;1,8339;0
1;[512];1;[64];exp_1;100;Sigmoid;14000;0.5388143658638;0.009690240025520325;0.8299999833106995;0.8957308530807495;1.0;0.8125;0.5224900841712952;0.011264177970588207;0.8999999761581421;7;12,5;2;3,5131;5,0357;2,887;0
1;[512];2;[64, 64];exp_2;100;Sigmoid;14000;0.6277102828025818;0.016695965081453323;0.699999988079071;0.8298102617263794;1.0;0.7109375;0.5285228490829468;0.01321734394878149;0.8999999761581421;5;7;1;3,8239;4,268;2,3455;1
1;[512];2;[64, 256];exp_3;100;Sigmoid;14000;0.6084854602813721;0.009956583380699158;0.800000011920929;0.880136251449585;1.0;0.7890625;0.5768606662750244;0.009839218109846115;0.8399999737739563;7;12,5;1;3,5202;5,2407;2,01194;1
1;[512];2;[64, 512];exp_4;100;Sigmoid;14000;0.6326906681060791;0.008670350536704063;0.6600000262260437;0.8084102869033813;1.0;0.6796875;0.5782648324966431;0.008908090181648731;0.9800000190734863;4;9;2;3,98777;5,027;2,3429;1
1;[512];1;[256];exp_5;100;Sigmoid;14000;0.6405971646308899;0.022326666861772537;0.699999988079071;0.7881563901901245;1.0;0.65625;0.5559359192848206;0.012021089904010296;0.8799999952316284;6;10;2;4,0549;5,0161;2,2859;1
1;[512];2;[256, 64];exp_6;120;Sigmoid;11500;0.6550301909446716;0.02233169972896576;0.5699999928474426;0.7532600164413452;1.0;0.609375;0.5595296621322632;0.007986216805875301;0.8899999856948853;3;9,5;2;3,1782;5,2212;2,2777;1
1;[512];2;[256, 256];exp_7;120;Sigmoid;11500;0.6739261746406555;0.014821895398199558;0.5199999809265137;0.6201359629631042;1.0;0.4609375;0.5994611978530884;0.009190420620143414;0.8299999833106995;5;8,5;2;3,90093;6,171225;2,9525;1
1;[512];2;[256, 512];exp_8;120;Sigmoid;11500;0.6853435039520264;0.006881094537675381;0.6200000047683716;0.7847065925598145;1.0;0.6484375;0.6363043785095215;0.0059356666170060635;0.75;3;7,5;2;3,2179;5,0854;1,7759;1
1;[512];1;[512];exp_9;100;Sigmoid;14000;0.6537018418312073;0.011738048866391182;0.6100000143051147;0.777989387512207;1.0;0.640625;0.6179708242416382;0.006224207114428282;0.7900000214576721;4;11;2;3,2383;4,5878;1,7471;1
1;[512];2;[512, 64];exp_10;100;Sigmoid;14000;0.502446711063385;0.011897331103682518;0.9599999785423279;0.9839988946914673;1.0;0.96875;0.4517974555492401;0.0052103339694440365;1.0;6;9;2;4,4686;5,17825;4,064;1
1;[512];2;[512, 256];exp_11;120;Sigmoid;11500;0.6705881357192993;0.011400456540286541;0.7200000286102295;0.8415583372116089;1.0;0.7265625;0.613929271697998;0.010103624314069748;0.8700000047683716;6;15;1;3,8812;5,5627;2,5045;1
1;[512];2;[512, 512];exp_12;100;Sigmoid;14000;0.6471998691558838;0.013493391685187817;0.6800000071525574;0.8189922571182251;1.0;0.6953125;0.584662675857544;0.006540428847074509;0.8700000047683716;5;16,5;1;4,11982;6,37006;2,086;1
2;[512, 512];0;[];exp_13;120;Sigmoid;11500;0.1952284872531891;0.09222029894590378;0.9300000071525574;0.970749020576477;1.0;0.9453125;0.05730751156806946;0.08748834580183029;1.0;16;16;12;4,6435;4,4058;4,9232;0
2;[512, 512];1;[64];exp_14;100;Sigmoid;14000;0.6585326194763184;0.07845824956893921;0.5799999833106995;0.71533203125;1.0;0.5625;0.15839147567749023;0.03867398947477341;1.0;8;11,5;3;4,13405;4,0129;5,737699;1
2;[512, 512];2;[64, 64];exp_15;120;Sigmoid;11500;0.60054612159729;0.08872495591640472;0.6299999952316284;0.8184835314750671;1.0;0.7109375;0.25346630811691284;0.03589514270424843;1.0;6;7;1;3,929;4,9147;2,5975;1
2;[512, 512];2;[64, 256];exp_16;120;Sigmoid;11500;0.6266934871673584;0.10569009184837341;0.6100000143051147;0.736147403717041;1.0;0.5859375;0.3366831839084625;0.036161817610263824;0.9300000071525574;7;6;2;3,9283;3,7988;3,477;0
2;[512, 512];2;[64, 512];exp_17;100;Sigmoid;14000;0.4677659869194031;0.0755741149187088;0.8100000023841858;0.8855745792388916;1.0;0.796875;0.3581637144088745;0.0477106012403965;0.9599999785423279;8;8,5;2;4,4758;4,9814;2,3467;0
2;[512, 512];1;[256];exp_18;100;Sigmoid;14000;0.5082592964172363;0.030996529385447502;0.7900000214576721;0.8753671646118164;1.0;0.78125;0.36959487199783325;0.03213231638073921;0.9800000190734863;6;10,5;1;3,55854;3,8178;2,5972;1
2;[512, 512];2;[256, 64];exp_19;100;Sigmoid;14000;0.5359483957290649;0.04925749450922012;0.6899999976158142;0.8555205464363098;1.0;0.7578125;0.32816749811172485;0.027255043387413025;1.0;5;9;2;3,51163;4,098;2,7037;1
2;[512, 512];2;[256, 256];exp_20;120;Sigmoid;11500;0.5532867312431335;0.05611114948987961;0.6899999976158142;0.7214897274971008;1.0;0.59375;0.3630113899707794;0.028066709637641907;0.9700000286102295;4;12,5;2;3,7904;4,601;5,0038;0
2;[512, 512];2;[256, 512];exp_21;120;Sigmoid;11500;0.6442985534667969;0.08410310745239258;0.5799999833106995;0.7187181711196899;1.0;0.5625;0.4404633343219757;0.02339678443968296;0.9700000286102295;5;6;2;3,16509;3,7945;1,73337;0
2;[512, 512];1;[512];exp_22;120;Sigmoid;11500;0.6842646598815918;0.04576761648058891;0.6100000143051147;0.7769637107849121;1.0;0.640625;0.4905024766921997;0.020617669448256493;0.8999999761581421;4;11,5;1;3,353677;5,465;2,1688;1
2;[512, 512];2;[512, 64];exp_23;120;Sigmoid;11500;0.4590011239051819;0.0306756179779768;0.8899999856948853;0.9526315331459045;1.0;0.9140625;0.3303366005420685;0.02896115742623806;1.0;5;9,5;2;4,0699;4,2748;2,5744;1
2;[512, 512];2;[512, 256];exp_24;100;Sigmoid;14000;0.5675954222679138;0.031343311071395874;0.7799999713897705;0.9025270342826843;1.0;0.828125;0.43675270676612854;0.02347523719072342;0.9200000166893005;7;7,5;1;3,829;4,9135;2,3688;1
2;[512, 512];2;[512, 512];exp_25;120;Sigmoid;11500;0.6150259971618652;0.03486746922135353;0.6800000071525574;0.8108971118927002;1.0;0.6953125;0.5236663818359375;0.020992303267121315;0.8700000047683716;5;14;2;3,829;5,0522;2,38838;1
